"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 25, 2020","87.38","87.38","87.38","87.38","-","0.53%"
"Feb 24, 2020","86.92","86.92","86.92","86.92","-","16.61%"
"Feb 21, 2020","74.54","74.54","74.54","74.54","-","7.10%"
"Feb 20, 2020","69.60","69.60","69.60","69.60","-","2.29%"
"Feb 19, 2020","68.04","68.04","68.04","68.04","-","0.56%"
"Feb 18, 2020","67.66","67.66","67.66","67.66","-","8.46%"
"Feb 14, 2020","62.38","62.38","62.38","62.38","-","-1.78%"
"Feb 13, 2020","63.51","63.51","63.51","63.51","-","-0.02%"
"Feb 12, 2020","63.52","63.52","63.52","63.52","-","-2.11%"
"Feb 11, 2020","64.89","64.89","64.89","64.89","-","-4.76%"
"Feb 10, 2020","68.13","68.13","68.13","68.13","-","3.87%"
"Feb 07, 2020","65.59","65.59","65.59","65.59","-","7.10%"
"Feb 06, 2020","61.24","61.24","61.24","61.24","-","-4.42%"
"Feb 05, 2020","64.07","64.07","64.07","64.07","-","-6.01%"
"Feb 04, 2020","68.17","68.17","68.17","68.17","-","-6.37%"
"Feb 03, 2020","72.81","72.81","72.81","72.81","-","-0.23%"
"Jan 31, 2020","72.98","72.98","72.98","72.98","-","2.69%"
"Jan 30, 2020","71.07","71.07","71.07","71.07","-","7.41%"
"Jan 29, 2020","66.17","66.17","66.17","66.17","-","0.87%"
"Jan 28, 2020","65.60","65.60","65.60","65.60","-","-1.69%"
"Jan 27, 2020","66.73","66.73","66.73","66.73","-","11.33%"
"Jan 24, 2020","59.94","59.94","59.94","59.94","-","8.31%"
"Jan 23, 2020","55.34","55.34","55.34","55.34","-","7.85%"
"Jan 22, 2020","51.31","51.31","51.31","51.31","-","-3.95%"
"Jan 21, 2020","53.42","53.42","53.42","53.42","-","7.55%"
"Jan 20, 2020","49.67","49.67","49.67","49.67","-","0.00%"
"Jan 17, 2020","49.67","49.67","49.67","49.67","-","-1.39%"
"Jan 16, 2020","50.37","50.37","50.37","50.37","-","-0.34%"
"Jan 15, 2020","50.54","50.54","50.54","50.54","-","-3.46%"
"Jan 14, 2020","52.35","52.35","52.35","52.35","-","-1.73%"
"Jan 13, 2020","53.27","53.27","53.27","53.27","-","-0.09%"
"Jan 10, 2020","53.32","53.32","53.32","53.32","-","-7.53%"
"Jan 09, 2020","57.66","57.66","57.66","57.66","-","-4.68%"
"Jan 08, 2020","60.49","60.49","60.49","60.49","-","-3.42%"
"Jan 07, 2020","62.63","62.63","62.63","62.63","-","-0.25%"
"Jan 06, 2020","62.79","62.79","62.79","62.79","-","4.44%"
"Jan 03, 2020","60.12","60.12","60.12","60.12","-","5.10%"
"Jan 02, 2020","57.20","57.20","57.20","57.20","-","-1.85%"
"Jan 01, 2020","58.28","58.28","58.28","58.28","-","0.00%"
"Dec 31, 2019","58.28","58.28","58.28","58.28","-","-2.26%"
"Dec 30, 2019","59.63","59.63","59.63","59.63","-","7.83%"
"Dec 27, 2019","55.30","55.30","55.30","55.30","-","-1.99%"
"Dec 26, 2019","56.42","56.42","56.42","56.42","-","-3.26%"
"Dec 25, 2019","58.32","58.32","58.32","58.32","-","0.00%"
"Dec 24, 2019","58.32","58.32","58.32","58.32","-","5.44%"
"Dec 23, 2019","55.31","55.31","55.31","55.31","-","2.07%"
"Dec 20, 2019","54.19","54.19","54.19","54.19","-","0.91%"
"Dec 19, 2019","53.70","53.70","53.70","53.70","-","0.54%"
"Dec 18, 2019","53.41","53.41","53.41","53.41","-","-3.56%"
"Dec 17, 2019","55.38","55.38","55.38","55.38","-","-1.34%"
"Dec 16, 2019","56.13","56.13","56.13","56.13","-","-0.55%"
"Dec 13, 2019","56.44","56.44","56.44","56.44","-","-8.42%"
"Dec 12, 2019","61.63","61.63","61.63","61.63","-","0.54%"
"Dec 11, 2019","61.30","61.30","61.30","61.30","-","-8.63%"
"Dec 10, 2019","67.09","67.09","67.09","67.09","-","-0.30%"
"Dec 09, 2019","67.29","67.29","67.29","67.29","-","5.03%"
"Dec 06, 2019","64.07","64.07","64.07","64.07","-","0.53%"
"Dec 05, 2019","63.73","63.73","63.73","63.73","-","1.14%"
"Dec 04, 2019","63.01","63.01","63.01","63.01","-","-2.49%"
"Dec 03, 2019","64.62","64.62","64.62","64.62","-","8.75%"
"Dec 02, 2019","59.42","59.42","59.42","59.42","-","5.04%"
"Nov 29, 2019","56.57","56.57","56.57","56.57","-","-1.82%"
"Nov 28, 2019","57.62","57.62","57.62","57.62","-","0.00%"
"Nov 27, 2019","57.62","57.62","57.62","57.62","-","-4.59%"
"Nov 26, 2019","60.39","60.39","60.39","60.39","-","-1.88%"
"Nov 25, 2019","61.55","61.55","61.55","61.55","-","-1.00%"
"Nov 22, 2019","62.17","62.17","62.17","62.17","-","0.55%"
"Nov 21, 2019","61.83","61.83","61.83","61.83","-","-5.72%"
"Nov 20, 2019","65.58","65.58","65.58","65.58","-","4.69%"
"Nov 19, 2019","62.64","62.64","62.64","62.64","-","-2.32%"
"Nov 18, 2019","64.13","64.13","64.13","64.13","-","3.94%"
"Nov 15, 2019","61.70","61.70","61.70","61.70","-","-3.85%"
"Nov 14, 2019","64.17","64.17","64.17","64.17","-","-2.92%"
"Nov 13, 2019","66.10","66.10","66.10","66.10","-","-5.33%"
"Nov 12, 2019","69.82","69.82","69.82","69.82","-","8.35%"
"Nov 11, 2019","64.44","64.44","64.44","64.44","-","0.00%"
"Nov 08, 2019","64.44","64.44","64.44","64.44","-","-3.94%"
"Nov 07, 2019","67.08","67.08","67.08","67.08","-","8.67%"
"Nov 06, 2019","61.73","61.73","61.73","61.73","-","0.41%"
"Nov 05, 2019","61.48","61.48","61.48","61.48","-","2.16%"
"Nov 04, 2019","60.18","60.18","60.18","60.18","-","5.06%"
"Nov 01, 2019","57.28","57.28","57.28","57.28","-","-13.05%"
"Oct 31, 2019","65.88","65.88","65.88","65.88","-","4.04%"
"Oct 30, 2019","63.32","63.32","63.32","63.32","-","-6.35%"
"Oct 29, 2019","67.61","67.61","67.61","67.61","-","0.30%"
"Oct 28, 2019","67.41","67.41","67.41","67.41","-","0.51%"
"Oct 25, 2019","67.07","67.07","67.07","67.07","-","-2.75%"
"Oct 24, 2019","68.97","68.97","68.97","68.97","-","-5.56%"
"Oct 23, 2019","73.03","73.03","73.03","73.03","-","-7.24%"
